"";"Country";"Year";"Cost";"LE"
"1";"Australia";"2005";2842,1321;80,9
"2";"Australia";"2006";3023,0978;81,1
"3";"Australia";"2007";3196,226;81,4
"4";"Australia";"2008";3310,1708;81,5
"5";"Australia";"2009";3564,4049;81,6
"6";"Australia";"2010";3607,3407;81,8
"7";"Australia";"2011";3794,0874;82
"8";"Australia";"2012";3807,6819;82,1
"9";"Australia";"2013";4176,853;82,2
"10";"Australia";"2014";4206,8516;82,4
"11";"Australia";"2015";4420,4364;NA
"12";"Austria";"2005";3324,0795;79,4
"13";"Austria";"2006";3567,6495;80
"14";"Austria";"2007";3718,739;80,3
"15";"Austria";"2008";3964,8495;80,5
"16";"Austria";"2009";4119,7452;80,4
"17";"Austria";"2010";4236,3164;80,7
"18";"Austria";"2011";4362,3426;81,1
"19";"Austria";"2012";4646,4365;81
"20";"Austria";"2013";4806,3934;81,2
"21";"Austria";"2014";4895,9992;81,6
"22";"Austria";"2015";5015,6372;NA
"23";"Belgium";"2005";2985,8089;79,1
"24";"Belgium";"2006";3136,9155;79,5
"25";"Belgium";"2007";3286,2254;79,9
"26";"Belgium";"2008";3542,3542;79,8
"27";"Belgium";"2009";3804,7643;80,1
"28";"Belgium";"2010";3901,9126;80,3
"29";"Belgium";"2011";4132,3109;80,7
"30";"Belgium";"2012";4286,4123;80,5
"31";"Belgium";"2013";4485,4804;80,7
"32";"Belgium";"2014";4522,045;81,4
"33";"Belgium";"2015";4611,2518;NA
"34";"Canada";"2005";3282,4541;80,1
"35";"Canada";"2006";3505,0061;80,4
"36";"Canada";"2007";3675,4766;80,5
"37";"Canada";"2008";3822,6386;80,7
"38";"Canada";"2009";4108,7578;80,9
"39";"Canada";"2010";4242,3395;81,2
"40";"Canada";"2011";4263,4169;81,5
"41";"Canada";"2012";4319,9434;NA
"42";"Canada";"2013";4502,7427;NA
"43";"Canada";"2014";4491,7648;NA
"44";"Canada";"2015";4608,4522;NA
"45";"Chile";"2005";837,7758;77,6
"46";"Chile";"2006";936,2072;78
"47";"Chile";"2007";1031,0343;77,5
"48";"Chile";"2008";1097,2873;78,1
"49";"Chile";"2009";1150,0554;78,2
"50";"Chile";"2010";1219,6509;78
"51";"Chile";"2011";1358,1965;78,7
"52";"Chile";"2012";1485,319;78,7
"53";"Chile";"2013";1558,4465;78,8
"54";"Chile";"2014";1688,5233;79
"55";"Chile";"2015";1728,2484;NA
"56";"Czech Republic";"2005";1425,1388;76,1
"57";"Czech Republic";"2006";1514,1975;76,7
"58";"Czech Republic";"2007";1608,5877;77
"59";"Czech Republic";"2008";1727,9885;77,3
"60";"Czech Republic";"2009";1974,0369;77,4
